
Predictions were generated on 08-Sep-2020 at 15:27:37 using BeamDyn




Time	TipTDxr   	TipTDyr   	TipTDzr   
(s)	(m)	(m)	(m)
       0.208000	 3.550E-04	 2.750E-04	-2.393E-09
       0.210000	 3.617E-04	 2.788E-04	-2.478E-09
       0.212000	 3.684E-04	 2.827E-04	-2.567E-09
       0.214000	 3.753E-04	 2.865E-04	-2.657E-09
       0.216000	 3.823E-04	 2.904E-04	-2.751E-09
       0.218000	 3.894E-04	 2.942E-04	-2.848E-09
       0.220000	 3.966E-04	 2.981E-04	-2.948E-09
       0.222000	 4.038E-04	 3.020E-04	-3.051E-09
       0.224000	 4.112E-04	 3.059E-04	-3.157E-09
       0.226000	 4.187E-04	 3.098E-04	-3.267E-09
       0.228000	 4.262E-04	 3.138E-04	-3.380E-09
       0.230000	 4.338E-04	 3.177E-04	-3.496E-09
       0.232000	 4.416E-04	 3.217E-04	-3.616E-09
       0.234000	 4.493E-04	 3.258E-04	-3.739E-09
       0.236000	 4.572E-04	 3.298E-04	-3.866E-09
       0.238000	 4.652E-04	 3.339E-04	-3.997E-09
       0.240000	 4.732E-04	 3.380E-04	-4.131E-09
       0.242000	 4.812E-04	 3.421E-04	-4.269E-09
       0.244000	 4.894E-04	 3.463E-04	-4.410E-09
       0.246000	 4.975E-04	 3.504E-04	-4.555E-09
       0.248000	 5.058E-04	 3.546E-04	-4.703E-09
       0.250000	 5.140E-04	 3.588E-04	-4.855E-09
       0.252000	 5.224E-04	 3.630E-04	-5.010E-09
       0.254000	 5.307E-04	 3.673E-04	-5.168E-09
       0.256000	 5.391E-04	 3.715E-04	-5.330E-09
       0.258000	 5.475E-04	 3.758E-04	-5.495E-09
       0.260000	 5.560E-04	 3.800E-04	-5.663E-09
       0.262000	 5.645E-04	 3.842E-04	-5.834E-09
       0.264000	 5.729E-04	 3.885E-04	-6.008E-09
       0.266000	 5.814E-04	 3.927E-04	-6.184E-09
       0.268000	 5.900E-04	 3.969E-04	-6.364E-09
       0.270000	 5.985E-04	 4.010E-04	-6.546E-09
       0.272000	 6.070E-04	 4.052E-04	-6.730E-09
       0.274000	 6.156E-04	 4.093E-04	-6.917E-09
       0.276000	 6.241E-04	 4.134E-04	-7.106E-09
       0.278000	 6.327E-04	 4.174E-04	-7.298E-09
       0.280000	 6.412E-04	 4.214E-04	-7.491E-09
       0.282000	 6.498E-04	 4.254E-04	-7.687E-09
       0.284000	 6.583E-04	 4.293E-04	-7.885E-09
       0.286000	 6.668E-04	 4.332E-04	-8.084E-09
       0.288000	 6.754E-04	 4.370E-04	-8.285E-09
       0.290000	 6.839E-04	 4.408E-04	-8.488E-09
       0.292000	 6.924E-04	 4.445E-04	-8.693E-09
       0.294000	 7.009E-04	 4.482E-04	-8.899E-09
       0.296000	 7.094E-04	 4.518E-04	-9.107E-09
       0.298000	 7.179E-04	 4.554E-04	-9.316E-09
       0.300000	 7.264E-04	 4.589E-04	-9.527E-09
       0.302000	 7.349E-04	 4.623E-04	-9.739E-09
       0.304000	 7.433E-04	 4.657E-04	-9.952E-09
       0.306000	 7.518E-04	 4.690E-04	-1.017E-08
       0.308000	 7.602E-04	 4.723E-04	-1.038E-08
       0.310000	 7.686E-04	 4.755E-04	-1.060E-08
