
Predictions were generated on 11-Sep-2021 at 11:53:05 using BeamDyn




Time	TipTDxr   	TipTDyr   	TipTDzr   
(s)	(m)	(m)	(m)
       0.208000	 1.770E+00	 2.772E+00	-1.213E-01
       0.210000	 1.803E+00	 2.812E+00	-1.252E-01
       0.212000	 1.836E+00	 2.852E+00	-1.292E-01
       0.214000	 1.870E+00	 2.891E+00	-1.332E-01
       0.216000	 1.905E+00	 2.931E+00	-1.374E-01
       0.218000	 1.939E+00	 2.971E+00	-1.417E-01
       0.220000	 1.975E+00	 3.011E+00	-1.461E-01
       0.222000	 2.011E+00	 3.052E+00	-1.507E-01
       0.224000	 2.047E+00	 3.092E+00	-1.553E-01
       0.226000	 2.084E+00	 3.133E+00	-1.601E-01
       0.228000	 2.121E+00	 3.174E+00	-1.650E-01
       0.230000	 2.158E+00	 3.216E+00	-1.701E-01
       0.232000	 2.196E+00	 3.257E+00	-1.753E-01
       0.234000	 2.235E+00	 3.299E+00	-1.806E-01
       0.236000	 2.273E+00	 3.342E+00	-1.861E-01
       0.238000	 2.312E+00	 3.384E+00	-1.917E-01
       0.240000	 2.352E+00	 3.427E+00	-1.974E-01
       0.242000	 2.391E+00	 3.470E+00	-2.033E-01
       0.244000	 2.431E+00	 3.514E+00	-2.093E-01
       0.246000	 2.471E+00	 3.558E+00	-2.155E-01
       0.248000	 2.512E+00	 3.601E+00	-2.218E-01
       0.250000	 2.552E+00	 3.646E+00	-2.283E-01
       0.252000	 2.593E+00	 3.690E+00	-2.349E-01
       0.254000	 2.634E+00	 3.734E+00	-2.416E-01
       0.256000	 2.675E+00	 3.779E+00	-2.484E-01
       0.258000	 2.716E+00	 3.823E+00	-2.554E-01
       0.260000	 2.758E+00	 3.868E+00	-2.625E-01
       0.262000	 2.799E+00	 3.913E+00	-2.697E-01
       0.264000	 2.841E+00	 3.957E+00	-2.770E-01
       0.266000	 2.882E+00	 4.002E+00	-2.845E-01
       0.268000	 2.924E+00	 4.046E+00	-2.920E-01
       0.270000	 2.966E+00	 4.090E+00	-2.996E-01
       0.272000	 3.008E+00	 4.134E+00	-3.073E-01
       0.274000	 3.050E+00	 4.178E+00	-3.151E-01
       0.276000	 3.091E+00	 4.222E+00	-3.230E-01
       0.278000	 3.133E+00	 4.265E+00	-3.309E-01
       0.280000	 3.175E+00	 4.308E+00	-3.389E-01
       0.282000	 3.217E+00	 4.350E+00	-3.470E-01
       0.284000	 3.259E+00	 4.392E+00	-3.551E-01
       0.286000	 3.301E+00	 4.434E+00	-3.633E-01
       0.288000	 3.343E+00	 4.475E+00	-3.715E-01
       0.290000	 3.384E+00	 4.516E+00	-3.798E-01
       0.292000	 3.426E+00	 4.556E+00	-3.881E-01
       0.294000	 3.468E+00	 4.596E+00	-3.965E-01
       0.296000	 3.510E+00	 4.636E+00	-4.049E-01
       0.298000	 3.552E+00	 4.674E+00	-4.133E-01
       0.300000	 3.594E+00	 4.713E+00	-4.218E-01
       0.302000	 3.635E+00	 4.751E+00	-4.303E-01
       0.304000	 3.677E+00	 4.788E+00	-4.388E-01
       0.306000	 3.719E+00	 4.825E+00	-4.474E-01
       0.308000	 3.760E+00	 4.862E+00	-4.560E-01
       0.310000	 3.802E+00	 4.898E+00	-4.646E-01
       0.312000	 3.843E+00	 4.933E+00	-4.732E-01
       0.314000	 3.885E+00	 4.968E+00	-4.819E-01
       0.316000	 3.926E+00	 5.003E+00	-4.906E-01
       0.318000	 3.968E+00	 5.037E+00	-4.994E-01
       0.320000	 4.009E+00	 5.071E+00	-5.081E-01
       0.322000	 4.051E+00	 5.105E+00	-5.169E-01
       0.324000	 4.092E+00	 5.138E+00	-5.258E-01
       0.326000	 4.133E+00	 5.170E+00	-5.346E-01
       0.328000	 4.174E+00	 5.202E+00	-5.435E-01
       0.330000	 4.215E+00	 5.234E+00	-5.524E-01
       0.332000	 4.256E+00	 5.266E+00	-5.614E-01
       0.334000	 4.297E+00	 5.297E+00	-5.704E-01
       0.336000	 4.338E+00	 5.328E+00	-5.795E-01
       0.338000	 4.378E+00	 5.359E+00	-5.886E-01
       0.340000	 4.419E+00	 5.390E+00	-5.977E-01
       0.342000	 4.460E+00	 5.420E+00	-6.069E-01
       0.344000	 4.500E+00	 5.450E+00	-6.161E-01
       0.346000	 4.541E+00	 5.480E+00	-6.254E-01
       0.348000	 4.581E+00	 5.510E+00	-6.348E-01
       0.350000	 4.622E+00	 5.539E+00	-6.442E-01
       0.352000	 4.662E+00	 5.568E+00	-6.536E-01
       0.354000	 4.702E+00	 5.598E+00	-6.632E-01
       0.356000	 4.743E+00	 5.627E+00	-6.728E-01
       0.358000	 4.783E+00	 5.655E+00	-6.825E-01
       0.360000	 4.824E+00	 5.684E+00	-6.922E-01
       0.362000	 4.864E+00	 5.712E+00	-7.020E-01
       0.364000	 4.904E+00	 5.741E+00	-7.120E-01
       0.366000	 4.945E+00	 5.768E+00	-7.219E-01
       0.368000	 4.986E+00	 5.796E+00	-7.320E-01
       0.370000	 5.026E+00	 5.824E+00	-7.422E-01
       0.372000	 5.067E+00	 5.851E+00	-7.524E-01
       0.374000	 5.108E+00	 5.878E+00	-7.627E-01
       0.376000	 5.149E+00	 5.905E+00	-7.731E-01
       0.378000	 5.190E+00	 5.931E+00	-7.836E-01
       0.380000	 5.231E+00	 5.957E+00	-7.941E-01
       0.382000	 5.273E+00	 5.983E+00	-8.047E-01
       0.384000	 5.314E+00	 6.008E+00	-8.154E-01
       0.386000	 5.356E+00	 6.032E+00	-8.262E-01
       0.388000	 5.398E+00	 6.057E+00	-8.370E-01
       0.390000	 5.440E+00	 6.080E+00	-8.479E-01
       0.392000	 5.482E+00	 6.103E+00	-8.588E-01
       0.394000	 5.524E+00	 6.126E+00	-8.698E-01
       0.396000	 5.567E+00	 6.148E+00	-8.808E-01
       0.398000	 5.609E+00	 6.169E+00	-8.919E-01
       0.400000	 5.652E+00	 6.190E+00	-9.030E-01
       0.402000	 5.695E+00	 6.210E+00	-9.141E-01
       0.404000	 5.738E+00	 6.230E+00	-9.253E-01
       0.406000	 5.781E+00	 6.248E+00	-9.365E-01
       0.408000	 5.824E+00	 6.266E+00	-9.477E-01
       0.410000	 5.867E+00	 6.284E+00	-9.589E-01
       0.412000	 5.910E+00	 6.300E+00	-9.701E-01
       0.414000	 5.953E+00	 6.316E+00	-9.813E-01
       0.416000	 5.997E+00	 6.331E+00	-9.925E-01
       0.418000	 6.040E+00	 6.346E+00	-1.004E+00
       0.420000	 6.083E+00	 6.360E+00	-1.015E+00
       0.422000	 6.127E+00	 6.373E+00	-1.026E+00
       0.424000	 6.170E+00	 6.385E+00	-1.037E+00
       0.426000	 6.213E+00	 6.397E+00	-1.048E+00
       0.428000	 6.256E+00	 6.408E+00	-1.060E+00
       0.430000	 6.299E+00	 6.418E+00	-1.071E+00
       0.432000	 6.342E+00	 6.428E+00	-1.082E+00
       0.434000	 6.385E+00	 6.437E+00	-1.093E+00
       0.436000	 6.428E+00	 6.446E+00	-1.104E+00
       0.438000	 6.471E+00	 6.454E+00	-1.115E+00
       0.440000	 6.513E+00	 6.461E+00	-1.126E+00
       0.442000	 6.555E+00	 6.468E+00	-1.137E+00
       0.444000	 6.597E+00	 6.474E+00	-1.148E+00
       0.446000	 6.639E+00	 6.480E+00	-1.158E+00
       0.448000	 6.681E+00	 6.485E+00	-1.169E+00
       0.450000	 6.723E+00	 6.490E+00	-1.180E+00
       0.452000	 6.764E+00	 6.494E+00	-1.191E+00
       0.454000	 6.805E+00	 6.498E+00	-1.201E+00
       0.456000	 6.846E+00	 6.501E+00	-1.212E+00
       0.458000	 6.886E+00	 6.504E+00	-1.222E+00
       0.460000	 6.926E+00	 6.507E+00	-1.233E+00
       0.462000	 6.966E+00	 6.509E+00	-1.243E+00
       0.464000	 7.006E+00	 6.510E+00	-1.254E+00
       0.466000	 7.045E+00	 6.511E+00	-1.264E+00
       0.468000	 7.084E+00	 6.512E+00	-1.274E+00
       0.470000	 7.122E+00	 6.513E+00	-1.284E+00
       0.472000	 7.160E+00	 6.512E+00	-1.294E+00
       0.474000	 7.198E+00	 6.512E+00	-1.304E+00
       0.476000	 7.236E+00	 6.511E+00	-1.314E+00
       0.478000	 7.273E+00	 6.510E+00	-1.323E+00
       0.480000	 7.309E+00	 6.508E+00	-1.333E+00
       0.482000	 7.345E+00	 6.505E+00	-1.342E+00
       0.484000	 7.381E+00	 6.503E+00	-1.352E+00
       0.486000	 7.416E+00	 6.500E+00	-1.361E+00
       0.488000	 7.451E+00	 6.496E+00	-1.370E+00
       0.490000	 7.486E+00	 6.492E+00	-1.378E+00
       0.492000	 7.519E+00	 6.487E+00	-1.387E+00
       0.494000	 7.553E+00	 6.482E+00	-1.395E+00
       0.496000	 7.586E+00	 6.476E+00	-1.404E+00
       0.498000	 7.618E+00	 6.470E+00	-1.412E+00
       0.500000	 7.650E+00	 6.463E+00	-1.419E+00
       0.502000	 7.682E+00	 6.456E+00	-1.427E+00
       0.504000	 7.712E+00	 6.448E+00	-1.434E+00
       0.506000	 7.743E+00	 6.439E+00	-1.441E+00
       0.508000	 7.773E+00	 6.430E+00	-1.448E+00
       0.510000	 7.802E+00	 6.420E+00	-1.455E+00
