
Predictions were generated on 05-Jul-2022 at 09:41:03 using BeamDyn




Time	TipTDxr   	TipTDyr   	TipTDzr   
(s)	(m)	(m)	(m)
       0.416000	 1.235E-01	-5.657E-03	-2.133E-04
       0.420000	 1.253E-01	-5.826E-03	-2.197E-04
       0.424000	 1.271E-01	-5.999E-03	-2.262E-04
       0.428000	 1.289E-01	-6.176E-03	-2.328E-04
       0.432000	 1.306E-01	-6.356E-03	-2.396E-04
       0.436000	 1.324E-01	-6.540E-03	-2.464E-04
       0.440000	 1.342E-01	-6.727E-03	-2.533E-04
       0.444000	 1.360E-01	-6.917E-03	-2.603E-04
       0.448000	 1.377E-01	-7.110E-03	-2.674E-04
       0.452000	 1.395E-01	-7.304E-03	-2.745E-04
       0.456000	 1.412E-01	-7.501E-03	-2.816E-04
       0.460000	 1.429E-01	-7.699E-03	-2.888E-04
       0.464000	 1.446E-01	-7.898E-03	-2.960E-04
       0.468000	 1.463E-01	-8.099E-03	-3.032E-04
       0.472000	 1.479E-01	-8.300E-03	-3.103E-04
       0.476000	 1.496E-01	-8.502E-03	-3.175E-04
       0.480000	 1.512E-01	-8.704E-03	-3.246E-04
       0.484000	 1.528E-01	-8.906E-03	-3.316E-04
       0.488000	 1.543E-01	-9.108E-03	-3.385E-04
       0.492000	 1.559E-01	-9.310E-03	-3.454E-04
       0.496000	 1.574E-01	-9.511E-03	-3.522E-04
       0.500000	 1.588E-01	-9.711E-03	-3.588E-04
       0.504000	 1.602E-01	-9.910E-03	-3.654E-04
       0.508000	 1.616E-01	-1.011E-02	-3.717E-04
       0.512000	 1.630E-01	-1.030E-02	-3.780E-04
       0.516000	 1.643E-01	-1.050E-02	-3.841E-04
       0.520000	 1.656E-01	-1.069E-02	-3.900E-04
       0.524000	 1.668E-01	-1.089E-02	-3.957E-04
       0.528000	 1.680E-01	-1.108E-02	-4.013E-04
       0.532000	 1.692E-01	-1.127E-02	-4.067E-04
       0.536000	 1.703E-01	-1.146E-02	-4.119E-04
       0.540000	 1.714E-01	-1.164E-02	-4.169E-04
       0.544000	 1.725E-01	-1.183E-02	-4.218E-04
       0.548000	 1.735E-01	-1.201E-02	-4.265E-04
       0.552000	 1.745E-01	-1.219E-02	-4.311E-04
       0.556000	 1.755E-01	-1.238E-02	-4.355E-04
       0.560000	 1.764E-01	-1.256E-02	-4.398E-04
       0.564000	 1.773E-01	-1.274E-02	-4.439E-04
       0.568000	 1.782E-01	-1.292E-02	-4.480E-04
       0.572000	 1.791E-01	-1.309E-02	-4.519E-04
       0.576000	 1.799E-01	-1.327E-02	-4.558E-04
       0.580000	 1.807E-01	-1.345E-02	-4.596E-04
       0.584000	 1.815E-01	-1.363E-02	-4.633E-04
       0.588000	 1.823E-01	-1.380E-02	-4.669E-04
       0.592000	 1.831E-01	-1.398E-02	-4.705E-04
       0.596000	 1.838E-01	-1.415E-02	-4.741E-04
       0.600000	 1.846E-01	-1.433E-02	-4.776E-04
       0.604000	 1.853E-01	-1.450E-02	-4.811E-04
       0.608000	 1.860E-01	-1.468E-02	-4.845E-04
       0.612000	 1.867E-01	-1.485E-02	-4.879E-04
       0.616000	 1.874E-01	-1.502E-02	-4.913E-04
       0.620000	 1.880E-01	-1.520E-02	-4.946E-04
       0.624000	 1.887E-01	-1.537E-02	-4.979E-04
       0.628000	 1.893E-01	-1.554E-02	-5.012E-04
       0.632000	 1.899E-01	-1.571E-02	-5.044E-04
       0.636000	 1.905E-01	-1.589E-02	-5.075E-04
       0.640000	 1.911E-01	-1.606E-02	-5.106E-04
       0.644000	 1.917E-01	-1.623E-02	-5.136E-04
       0.648000	 1.923E-01	-1.640E-02	-5.166E-04
       0.652000	 1.928E-01	-1.656E-02	-5.195E-04
       0.656000	 1.933E-01	-1.673E-02	-5.222E-04
       0.660000	 1.938E-01	-1.690E-02	-5.249E-04
       0.664000	 1.942E-01	-1.706E-02	-5.275E-04
       0.668000	 1.947E-01	-1.722E-02	-5.300E-04
       0.672000	 1.951E-01	-1.739E-02	-5.323E-04
       0.676000	 1.955E-01	-1.754E-02	-5.345E-04
       0.680000	 1.958E-01	-1.770E-02	-5.365E-04
       0.684000	 1.962E-01	-1.786E-02	-5.384E-04
       0.688000	 1.964E-01	-1.801E-02	-5.400E-04
       0.692000	 1.967E-01	-1.815E-02	-5.415E-04
       0.696000	 1.969E-01	-1.830E-02	-5.428E-04
       0.700000	 1.971E-01	-1.844E-02	-5.438E-04
       0.704000	 1.972E-01	-1.858E-02	-5.447E-04
       0.708000	 1.973E-01	-1.871E-02	-5.453E-04
       0.712000	 1.974E-01	-1.884E-02	-5.456E-04
       0.716000	 1.974E-01	-1.896E-02	-5.458E-04
       0.720000	 1.974E-01	-1.908E-02	-5.457E-04
       0.724000	 1.974E-01	-1.919E-02	-5.454E-04
       0.728000	 1.973E-01	-1.930E-02	-5.448E-04
       0.732000	 1.972E-01	-1.941E-02	-5.440E-04
       0.736000	 1.970E-01	-1.951E-02	-5.430E-04
       0.740000	 1.968E-01	-1.960E-02	-5.418E-04
       0.744000	 1.965E-01	-1.969E-02	-5.403E-04
